tau=1
t=0 	x=0 	x_E=2.84217e-14 	Err=0
t=1 	x=0 	x_E=1.00403 	Err=0.00403232
t=2 	x=0 	x_E=2.01626 	Err=0.00819672
t=3 	x=0 	x_E=3.03689 	Err=0.0124995
t=4 	x=0 	x_E=4.06613 	Err=0.0169474
t=5 	x=0 	x_E=5.10421 	Err=0.0215476
t=6 	x=0 	x_E=6.15136 	Err=0.0263077
t=7 	x=0 	x_E=7.20781 	Err=0.0312359
t=8 	x=0 	x_E=8.27382 	Err=0.0363409
t=9 	x=0 	x_E=9.34966 	Err=0.0416321
t=10 	x=0 	x_E=10.4356 	Err=0.0471195
t=11 	x=0 	x_E=11.5319 	Err=0.0528138
t=12 	x=0 	x_E=12.639 	Err=0.0587266
t=13 	x=0 	x_E=13.757 	Err=0.0648703
t=14 	x=0 	x_E=14.8864 	Err=0.0712584
t=15 	x=0 	x_E=16.0275 	Err=0.0779051
t=16 	x=0 	x_E=17.1807 	Err=0.0848262
t=17 	x=0 	x_E=18.3464 	Err=0.0920386
t=18 	x=0 	x_E=19.5249 	Err=0.0995606
t=19 	x=0 	x_E=20.7167 	Err=0.107412
t=20 	x=0 	x_E=21.9224 	Err=0.115615
t=21 	x=0 	x_E=23.1423 	Err=0.124192
t=22 	x=0 	x_E=24.3769 	Err=0.133169
t=23 	x=0 	x_E=25.627 	Err=0.142576
t=24 	x=0 	x_E=26.8929 	Err=0.152442
t=25 	x=0 	x_E=28.1754 	Err=0.162801
t=26 	x=0 	x_E=29.4751 	Err=0.173691
t=27 	x=0 	x_E=30.7928 	Err=0.185154
t=28 	x=0 	x_E=32.1291 	Err=0.197235
t=29 	x=0 	x_E=33.485 	Err=0.209985
t=30 	x=0 	x_E=34.8612 	Err=0.22346
t=31 	x=0 	x_E=36.2588 	Err=0.237724
t=32 	x=0 	x_E=37.6788 	Err=0.252847
t=33 	x=0 	x_E=39.1222 	Err=0.26891
t=34 	x=0 	x_E=40.5903 	Err=0.286003
t=35 	x=0 	x_E=42.0844 	Err=0.304227
t=36 	x=0 	x_E=43.6059 	Err=0.323698
t=37 	x=0 	x_E=45.1564 	Err=0.344549
t=38 	x=0 	x_E=46.7376 	Err=0.366933
t=39 	x=0 	x_E=48.3515 	Err=0.391026
t=40 	x=0 	x_E=50 	Err=0.417032
t=41 	x=0 	x_E=51.6856 	Err=0.44519
t=42 	x=0 	x_E=53.4109 	Err=0.475781
t=43 	x=0 	x_E=55.1788 	Err=0.509138
t=44 	x=0 	x_E=56.9926 	Err=0.545659
t=45 	x=0 	x_E=58.8562 	Err=0.585822
t=46 	x=0 	x_E=60.7738 	Err=0.630211
t=47 	x=0 	x_E=62.7505 	Err=0.67954
t=48 	x=0 	x_E=64.792 	Err=0.7347
t=49 	x=0 	x_E=66.9052 	Err=0.796815
t=50 	x=0 	x_E=69.0983 	Err=0.867321
t=51 	x=0 	x_E=71.381 	Err=0.948089
t=52 	x=0 	x_E=73.7652 	Err=1.0416
t=53 	x=0 	x_E=76.266 	Err=1.15125
t=54 	x=0 	x_E=78.9023 	Err=1.28175
t=55 	x=0 	x_E=81.6987 	Err=1.43992
t=56 	x=0 	x_E=84.6887 	Err=1.63606
t=57 	x=0 	x_E=87.919 	Err=1.88643
t=58 	x=0 	x_E=91.459 	Err=2.21859
t=59 	x=0 	x_E=95.4196 	Err=2.68365
t=60 	x=0 	x_E=100 	Err=3.38977
