tau=2
t=0 	x=0 	x_E=2.84217e-14 	Err=0
t=2 	x=0 	x_E=2.01626 	Err=0.0162612
t=4 	x=0 	x_E=4.06613 	Err=0.0336135
t=6 	x=0 	x_E=6.15136 	Err=0.0521653
t=8 	x=0 	x_E=8.27382 	Err=0.0720403
t=10 	x=0 	x_E=10.4356 	Err=0.0933796
t=12 	x=0 	x_E=12.639 	Err=0.116345
t=14 	x=0 	x_E=14.8864 	Err=0.141123
t=16 	x=0 	x_E=17.1807 	Err=0.167931
t=18 	x=0 	x_E=19.5249 	Err=0.19702
t=20 	x=0 	x_E=21.9224 	Err=0.228686
t=22 	x=0 	x_E=24.3769 	Err=0.263281
t=24 	x=0 	x_E=26.8929 	Err=0.301219
t=26 	x=0 	x_E=29.4751 	Err=0.343002
t=28 	x=0 	x_E=32.1291 	Err=0.389234
t=30 	x=0 	x_E=34.8612 	Err=0.440655
t=32 	x=0 	x_E=37.6788 	Err=0.498183
t=34 	x=0 	x_E=40.5903 	Err=0.562963
t=36 	x=0 	x_E=43.6059 	Err=0.636453
t=38 	x=0 	x_E=46.7376 	Err=0.720532
t=40 	x=0 	x_E=50 	Err=0.81767
t=42 	x=0 	x_E=53.4109 	Err=0.93118
t=44 	x=0 	x_E=56.9926 	Err=1.06562
t=46 	x=0 	x_E=60.7738 	Err=1.22745
t=48 	x=0 	x_E=64.792 	Err=1.42614
t=50 	x=0 	x_E=69.0983 	Err=1.67622
t=52 	x=0 	x_E=73.7652 	Err=2.00122
t=54 	x=0 	x_E=78.9023 	Err=2.44218
t=56 	x=0 	x_E=84.6887 	Err=3.07821
t=58 	x=0 	x_E=91.459 	Err=4.08672
t=60 	x=0 	x_E=100 	Err=5.98371
